outer_fold,model_id,physical_unit_id,condition_id,line_pressure_bar,observed_flow_g_s,predicted_flow_g_s,error_g_s,squared_error_g_s2,training_scale_g_s
HYD-LOCO-8.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-8-1,WASZ-COND-8.0,7.9415,1.78422,1.44394985,-0.3402701499999998,0.11578377498102238,1.9299269999999997
HYD-LOCO-8.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-8-1b,WASZ-COND-8.0,7.83575,1.78113,1.44394985,-0.33718015,0.1136904535540225,1.9299269999999997
HYD-LOCO-8.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-8-2,WASZ-COND-8.0,8.00075,1.77573,1.44394985,-0.33178014999999994,0.11007806793402246,1.9299269999999997
HYD-LOCO-8.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-8-3,WASZ-COND-8.0,8.0015,1.93196,1.44394985,-0.4880101499999998,0.23815390650302232,1.9299269999999997
HYD-LOCO-8.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-8-1,WASZ-COND-8.0,7.9415,1.78422,2.1216512731704205,0.33743127317042054,0.11385986411341097,1.9299269999999997
HYD-LOCO-8.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-8-1b,WASZ-COND-8.0,7.83575,1.78113,2.1178255689176284,0.3366955689176283,0.11336390612876539,1.9299269999999997
HYD-LOCO-8.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-8-2,WASZ-COND-8.0,8.00075,1.77573,2.123432580145031,0.34770258014503086,0.1208970842395116,1.9299269999999997
HYD-LOCO-8.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-8-3,WASZ-COND-8.0,8.0015,1.93196,2.123453461256502,0.19149346125650202,0.03666974570399544,1.9299269999999997
HYD-LOCO-8.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-8-1,WASZ-COND-8.0,7.9415,1.78422,1.6179124274640344,-0.1663075725359655,0.02765820868280543,1.9299269999999997
HYD-LOCO-8.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-8-1b,WASZ-COND-8.0,7.83575,1.78113,1.595700199395651,-0.1854298006043491,0.03438421095216867,1.9299269999999997
HYD-LOCO-8.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-8-2,WASZ-COND-8.0,8.00075,1.77573,1.6303560200321954,-0.14537397996780466,0.02113359405167967,1.9299269999999997
HYD-LOCO-8.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-8-3,WASZ-COND-8.0,8.0015,1.93196,1.6305135266156867,-0.3014464733843132,0.09086997631583944,1.9299269999999997
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-9-1,WASZ-COND-9.0,9.08225,1.97632,1.44161505,-0.5347049500000001,0.28590938355450257,1.9299269999999997
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-9-2,WASZ-COND-9.0,9.191,1.80849,1.44161505,-0.3668749499999999,0.13459722893750245,1.9299269999999997
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-9-3,WASZ-COND-9.0,9.0935,1.89745,1.44161505,-0.45583495000000007,0.20778550164150256,1.9299269999999997
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-9-4,WASZ-COND-9.0,9.134,1.84499,1.44161505,-0.4033749499999999,0.16271135028750242,1.9299269999999997
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-9-5,WASZ-COND-9.0,9.12125,1.68079,1.44161505,-0.23917495,0.0572046567075025,1.9299269999999997
HYD-LOCO-9.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-9-1,WASZ-COND-9.0,9.08225,1.97632,2.104742688586592,0.128422688586592,0.01649238694380879,1.9299269999999997
HYD-LOCO-9.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-9-2,WASZ-COND-9.0,9.191,1.80849,2.099296086249727,0.29080608624972726,0.0845681797998838,1.9299269999999997
HYD-LOCO-9.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-9-3,WASZ-COND-9.0,9.0935,1.89745,2.104218867724853,0.2067688677248527,0.04275336466021763,1.9299269999999997
HYD-LOCO-9.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-9-4,WASZ-COND-9.0,9.134,1.84499,2.1022574064947914,0.2572674064947915,0.0661865184445563,1.9299269999999997
