condition_id,shot_id,analyte,profile_position,source_fraction_id,observer,window_start_s,window_end_s,observed_share,O0_predicted_share,O1_predicted_share,O0_residual,O1_residual,prediction_identity,source_id,rights,target_exposure
PRED-C02,PRED-E02-R1,trigonelline,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,12.576074206,15.5322424347,0.093432192704316366,0.080606452493584835,0.080606452493584835,-0.012825740210731532,-0.012825740210731532,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,trigonelline,5,7,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,18.5372877658,21.3470797593,0.053663524422852688,0.040405173454811892,0.040405173454811892,-0.013258350968040795,-0.013258350968040795,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,trigonelline,6,10,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,27.3092399216,30.2732325877,0.026823324912067181,0.017098076672724449,0.017098076672724449,-0.009725248239342732,-0.009725248239342732,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,2.89566194402,0.3257906674538954,0.32592589466086913,0.32592589466086913,0.00013522720697373147,0.00013522720697373147,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,2.89566194402,6.04701965829,0.26189515127528001,0.27060531695484796,0.27060531695484796,0.0087101656795679494,0.0087101656795679494,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,6.04701965829,9.07194797148,0.17826703606638106,0.18887124380022285,0.18887124380022285,0.010604207733841797,0.010604207733841797,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,12.0613989122,15.0261966301,0.11000592237738921,0.10781611737525262,0.10781611737525262,-0.0021898050021365856,-0.0021898050021365856,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,5,7,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,17.8991747766,20.8436866045,0.074949665620420061,0.067750170641678514,0.067750170641678514,-0.0071994949787415469,-0.0071994949787415469,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,caffeine,6,10,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,26.8883585293,29.9723827768,0.049091557206634343,0.039031256567129018,0.039031256567129018,-0.010060300639505325,-0.010060300639505325,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,trigonelline,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,2.89566194402,0.37878896459724692,0.38915704023310765,0.38915704023310765,0.01036807563586073,0.01036807563586073,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,trigonelline,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,2.89566194402,6.04701965829,0.27210161253656506,0.28563918475896649,0.28563918475896649,0.013537572222401428,0.013537572222401428,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,trigonelline,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,6.04701965829,9.07194797148,0.17271612055057592,0.17803656574540974,0.17803656574540974,0.0053204451948338227,0.0053204451948338227,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
