bed_depth_m,case_id,case_kind,closure,phi,primary_eligible,saturated_k_m2,source,source_identity,transfer_interpretation,wetting_k_m2
0.008592080943682714,WADS_FACTORIAL_PHI_MIN_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.3707,false,1.58e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008592080943682714,WADS_FACTORIAL_PHI_MIN_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.3707,false,5.78e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008592080943682714,WADS_FACTORIAL_PHI_MIN_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.3707,false,1.91e-10,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01109355054956818,WADS_FACTORIAL_PHI_MED_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5126,false,1.58e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01109355054956818,WADS_FACTORIAL_PHI_MED_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5126,false,5.78e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01109355054956818,WADS_FACTORIAL_PHI_MED_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5126,false,1.91e-10,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01655034140758963,WADS_FACTORIAL_PHI_MAX_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.6733,false,1.58e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01655034140758963,WADS_FACTORIAL_PHI_MAX_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.6733,false,5.78e-11,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01655034140758963,WADS_FACTORIAL_PHI_MAX_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.6733,false,1.91e-10,WADSWORTH,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_PUB_FACTORIAL_PHI_MIN_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,5.262739547780793e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_PUB_FACTORIAL_PHI_MIN_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,9.965845044477272e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_PUB_FACTORIAL_PHI_MIN_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,6.083278541952441e-13,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_PUB_FACTORIAL_PHI_MED_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,5.262739547780793e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_PUB_FACTORIAL_PHI_MED_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,9.965845044477272e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_PUB_FACTORIAL_PHI_MED_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,6.083278541952441e-13,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_PUB_FACTORIAL_PHI_MAX_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,5.262739547780793e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_PUB_FACTORIAL_PHI_MAX_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,9.965845044477272e-14,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_PUB_FACTORIAL_PHI_MAX_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,6.083278541952441e-13,VACA_C1_PUBLISHED,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_EWP_FACTORIAL_PHI_MIN_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,4.736465593002714e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_EWP_FACTORIAL_PHI_MIN_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,8.969260540029545e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007114469128762541,VACA_EWP_FACTORIAL_PHI_MIN_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.24,false,5.4749506877571975e-14,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_EWP_FACTORIAL_PHI_MED_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,4.736465593002714e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_EWP_FACTORIAL_PHI_MED_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,8.969260540029545e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_EWP_FACTORIAL_PHI_MED_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,5.4749506877571975e-14,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_EWP_FACTORIAL_PHI_MAX_K_MIN,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,4.736465593002714e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_EWP_FACTORIAL_PHI_MAX_K_MED,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,8.969260540029545e-15,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.008448432090405517,VACA_EWP_FACTORIAL_PHI_MAX_K_MAX,SYNTHETIC_WITHIN_SOURCE_SENSITIVITY,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.36,false,5.4749506877571975e-14,VACA_C1_EWP_MU,NA,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
