geometry_id,physical_lineage_id,family,L,voxel_um,seed,relation,frozen_relation,analysis_relation,parent_id,geometry_sha256,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L32-S1201,LINEAGE-2fa16e08761c1499,BASELINE,32,30.0,1201,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,a8041e73891d484f8987257470de1582b665b4d147b82dce1553bedab8cbe889,0.44573974609375,0.445526123046875,0.445526123046875,0.445526123046875,0.55426025390625,0.17724609375,1.0,2.23606797749979,4.898979485566356,-1,0.55,0,8,0.0
BASE-L32-S1301,LINEAGE-905f4d1bf07ddc2b,BASELINE,32,30.0,1301,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,c07aebaae5e59f36b7d9f3787e8bf54cfe7dbb27d7f1e1c593d75210188c4f39,0.424713134765625,0.424713134765625,0.424713134765625,0.424713134765625,0.575286865234375,0.1529541015625,1.0,2.449489742783178,5.916079783099616,0,0.55,0,8,0.0
BASE-L32-S1409,LINEAGE-ff15fa0579ddbc21,BASELINE,32,30.0,1409,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,62524e8364868a655c467a46af53dd6a1cd01b5de5a52d80453fb333f6e69ffd,0.44281005859375,0.44281005859375,0.44281005859375,0.44281005859375,0.55718994140625,0.18170166015625,1.0,2.23606797749979,4.0,-1,0.55,0,8,0.0
BASE-L32-S1511,LINEAGE-64553cfa1071de4a,BASELINE,32,30.0,1511,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,0b87a1a3b4e3d820fc664d62a2b6d7e832f7551654df365c52d00b2d46e56cdd,0.423095703125,0.423095703125,0.423095703125,0.423095703125,0.576904296875,0.17620849609375,1.0,2.23606797749979,5.0,-2,0.55,0,8,0.0
BASE-L32-S1601,LINEAGE-49949d726b3d4cda,BASELINE,32,30.0,1601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,55297e80468e4062743ea2aa354b8acd3537cfedb95ab9a8e535ca48670559a6,0.395172119140625,0.3951416015625,0.3951416015625,0.3951416015625,0.604827880859375,0.16064453125,1.0,2.23606797749979,5.0990195135927845,1,0.55,0,8,0.0
BASE-L32-S1709,LINEAGE-824d07e9147b40dc,BASELINE,32,30.0,1709,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,ed037baee26f19dc0981d440410d72a4cca002e5e3429a56086f7df766d97def,0.445343017578125,0.445281982421875,0.445281982421875,0.445281982421875,0.554656982421875,0.18463134765625,1.0,2.23606797749979,4.898979485566356,-4,0.55,0,8,0.0
BASE-L32-S1801,LINEAGE-d25cdde972a162bb,BASELINE,32,30.0,1801,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,05cfa3c0f001d290950b58ca9a68f239c9ea66de1633f116c01dc056277d0779,0.342071533203125,0.341827392578125,0.341827392578125,0.341827392578125,0.657928466796875,0.183837890625,1.0,2.0,4.358898943540674,-1,0.55,0,8,0.0
BASE-L32-S1901,LINEAGE-5e051425b1accf3d,BASELINE,32,30.0,1901,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,8e3d22357299d1f6ff85d26ebb4b53f6129f2659a95419172b368c0441c910d5,0.4134521484375,0.413360595703125,0.413360595703125,0.413360595703125,0.5865478515625,0.17547607421875,1.0,2.23606797749979,4.47213595499958,1,0.55,0,8,0.0
BASE-L32-S2003,LINEAGE-3d40de96cbb4c069,BASELINE,32,30.0,2003,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,ac96fff2d2008882a83d6f309fef684909054c3dc441e864a11728ae333f7a25,0.34686279296875,0.3468017578125,0.3468017578125,0.3468017578125,0.65313720703125,0.16009521484375,1.0,2.23606797749979,5.0,-2,0.55,0,8,0.0
BASE-L32-S211,LINEAGE-b8019ff74341da42,BASELINE,32,30.0,211,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,e4edd11b668876d9b10412382870a3a3aaf834d7c0fd60187af1f0a4e13991bd,0.440643310546875,0.440521240234375,0.440521240234375,0.440521240234375,0.559356689453125,0.1708984375,1.0,2.23606797749979,5.0,1,0.55,0,8,0.0
BASE-L32-S2111,LINEAGE-08f95f4446661855,BASELINE,32,30.0,2111,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,9ce75984100a1c65f6e90cbe7cf87f8739468ce8e2e6a801404d608a718c3fe4,0.40234375,0.402191162109375,0.402191162109375,0.402191162109375,0.59765625,0.18017578125,1.0,2.23606797749979,4.58257569495584,-1,0.55,0,8,0.0
BASE-L32-S2203,LINEAGE-b257af9329db3053,BASELINE,32,30.0,2203,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,002ee8bf64556482cc877cca056c2c63afda282c7ce2c7ff120389405f6dd837,0.404632568359375,0.404541015625,0.404541015625,0.404541015625,0.595367431640625,0.16180419921875,1.0,2.449489742783178,5.196152422706632,0,0.55,0,8,0.0
BASE-L32-S2309,LINEAGE-e841a8273f19d3db,BASELINE,32,30.0,2309,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,04700f13e8fcf66b8e6c6c2b938ea4994c5df9cb8bca9ac9f3304ed436d52154,0.40167236328125,0.401519775390625,0.401519775390625,0.401519775390625,0.59832763671875,0.17926025390625,1.0,2.23606797749979,4.69041575982343,-2,0.55,0,8,0.0
BASE-L32-S2411,LINEAGE-7539901ad178b483,BASELINE,32,30.0,2411,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,9ad093b50a5f6e9a3dc04dd2b888f7e6d39575a596f4be18c1d82aa55a29b6fe,0.385833740234375,0.3856201171875,0.3856201171875,0.3856201171875,0.614166259765625,0.17327880859375,1.0,2.23606797749979,4.898979485566356,-5,0.55,0,8,0.0
BASE-L32-S307,LINEAGE-e74e7d3cdffb6b0e,BASELINE,32,30.0,307,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,c620791263263081df4352bf6a8d43ed90a73014c86b4b2287d3f7ff909093b8,0.421844482421875,0.42181396484375,0.42181396484375,0.42181396484375,0.578155517578125,0.1663818359375,1.0,2.23606797749979,5.0,-3,0.55,0,8,0.0
