case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
H1-C8-L40-S101-X,H1-C8-L40-S101,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S211-X,H1-C8-L40-S211,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S307-X,H1-C8-L40-S307,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S401-X,H1-C8-L40-S401,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S503-X,H1-C8-L40-S503,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S601-X,H1-C8-L40-S601,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S701-X,H1-C8-L40-S701,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H1-C8-L40-S809-X,H1-C8-L40-S809,HETEROGENEITY_FABRIC,"{""amp"":1,""hlen"":8,""phis"":0.55}",40,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H2-C4-L40-S101-X,H2-C4-L40-S101,HETEROGENEITY_FABRIC,"{""amp"":2,""hlen"":4,""phis"":0.55}",40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
H2-C4-L40-S211-X,H2-C4-L40-S211,HETEROGENEITY_FABRIC,"{""amp"":2,""hlen"":4,""phis"":0.55}",40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
