case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L40-S1901-X,BASE-L40-S1901,BASELINE,X,0.39675,0.396640625,0.396640625,0.396640625,0.17365625,1.0,2.23606797749979,4.58257569495584,-6,1.1520412829907611,0.5096074357256635,0.4632742408225664,0.608161357722034,0.8320548566904692
BASE-L40-S2003-X,BASE-L40-S2003,BASELINE,X,0.431953125,0.431890625,0.431890625,0.431890625,0.1699375,1.0,2.23606797749979,5.0,-6,0.6257726215566,0.3477521752394066,0.24368844992309058,0.4474276243670676,0.9199186050787115
BASE-L40-S211-X,BASE-L40-S211,BASELINE,X,0.41896875,0.418890625,0.418890625,0.418890625,0.1654375,1.0,2.449489742783178,5.385164807134504,-7,0.9357184583960273,0.4973641596502785,0.3416044494124775,0.592656405100093,0.8448651745095448
BASE-L40-S2111-X,BASE-L40-S2111,BASELINE,X,0.43915625,0.439125,0.439125,0.439125,0.156,1.0,2.8284271247461903,6.164414002968976,-8,1.5058669295045088,0.6319437929978775,0.5372568767896375,0.7492837632367191,0.7338703729676258
BASE-L40-S2203-X,BASE-L40-S2203,BASELINE,X,0.405875,0.405796875,0.405796875,0.405796875,0.18078125,1.0,2.23606797749979,5.385164807134504,-12,1.3310254004955926,0.6321951177586341,0.4658660066296566,0.7188221729763896,0.7389841121269017
BASE-L40-S2309-X,BASE-L40-S2309,BASELINE,X,0.39790625,0.397671875,0.397671875,0.397671875,0.16784375,1.0,2.23606797749979,5.0,-5,1.3363774153526171,0.6313847093104349,0.4372414080507272,0.7953359125513288,0.732752874520552
BASE-L40-S2411-X,BASE-L40-S2411,BASELINE,X,0.441765625,0.441671875,0.441671875,0.441671875,0.1491875,1.0,2.8284271247461903,6.0,-4,1.1912998779424246,0.5705472497386018,0.43610134993882005,0.7008669182032308,0.7940553323037023
BASE-L40-S307-X,BASE-L40-S307,BASELINE,X,0.430234375,0.430109375,0.430109375,0.430109375,0.15815625,1.0,2.449489742783178,5.916079783099616,-4,1.4479323706400622,0.6512006705557938,0.5233249037166476,0.7436785987157789,0.7237028866357147
BASE-L40-S401-X,BASE-L40-S401,BASELINE,X,0.437,0.436953125,0.436953125,0.436953125,0.12596875,1.0,3.0,6.082762530298219,2,1.0507146272724652,0.554479125803868,0.3219459873595395,0.6048079975117647,0.7848191732899084
BASE-L40-S503-X,BASE-L40-S503,BASELINE,X,0.41021875,0.410109375,0.410109375,0.410109375,0.15240625,1.0,2.449489742783178,6.0,-2,0.9232673945267751,0.47696145436043735,0.358430585678187,0.5879333093286347,0.8628030735230529
BASE-L40-S601-X,BASE-L40-S601,BASELINE,X,0.417125,0.417078125,0.417078125,0.417078125,0.149375,1.0,2.8284271247461903,6.082762530298219,0,1.4458821527507275,0.6495639076619285,0.4965865722306304,0.7135146172516559,0.7150721141680189
BASE-L40-S701-X,BASE-L40-S701,BASELINE,X,0.3968125,0.39675,0.39675,0.39675,0.16721875,1.0,2.23606797749979,5.0,-2,1.1391966233020907,0.5390095363051834,0.40505874113224094,0.66303161804358,0.8192182794119894
BASE-L40-S809-X,BASE-L40-S809,BASELINE,X,0.42140625,0.421234375,0.421234375,0.421234375,0.16221875,1.0,2.23606797749979,5.0,-2,0.9805584053847395,0.523610287722099,0.31834473308133304,0.599864478510487,0.8210045447344791
BASE-L40-S907-X,BASE-L40-S907,BASELINE,X,0.386375,0.38615625,0.38615625,0.38615625,0.1745625,1.0,2.23606797749979,5.196152422706632,-8,0.9866274988740619,0.5124521611601669,0.3541400271834214,0.6118151180862703,0.8401073233914077
BASE-L56-S1009-X,BASE-L56-S1009,BASELINE,X,0.4413379190962099,0.4412411169825073,0.4412411169825073,0.4412411169825073,0.14729865160349853,1.0,2.8284271247461903,6.082762530298219,-8,1.064121658647563,0.5254656101957946,0.3891688906625316,0.6167347497830209,0.8306341510413325
BASE-L56-S101-X,BASE-L56-S101,BASELINE,X,0.43611629919825073,0.4360821337463557,0.4360821337463557,0.4360821337463557,0.14157024416909622,1.0,3.0,6.082762530298219,-6,0.7909983767913376,0.4176914572490141,0.3079154980883037,0.5209744168752507,0.8948731285023365
BASE-L56-S1103-X,BASE-L56-S1103,BASELINE,X,0.44526694606413997,0.4451587554664723,0.4451587554664723,0.4451587554664723,0.16003097667638483,1.0,2.449489742783178,5.744562646538029,-14,0.681370251517706,0.33830239899415765,0.293631891296676,0.4762966360167993,0.9265285202671178
BASE-L56-S1201-X,BASE-L56-S1201,BASELINE,X,0.42904405065597667,0.42895863702623904,0.42895863702623904,0.42895863702623904,0.171863611516035,1.0,2.23606797749979,5.0990195135927845,-23,1.0637548292338377,0.4514848073794838,0.3848077833327562,0.5562115329597688,0.8638178505049252
BASE-L56-S1301-X,BASE-L56-S1301,BASELINE,X,0.44621219023323616,0.446064139941691,0.446064139941691,0.446064139941691,0.160167638483965,1.0,2.449489742783178,5.656854249492381,-10,0.9285198174167772,0.4885882069227425,0.33775366723127875,0.5727966341796262,0.8542800228703755
